WH,广州市增城市永和镇汽车城东路75号,广州华德汽车弹簧有限公司,0.195 ,0.108 ,5%,,998,1.76,广东省广州市永和镇汽车城东路63号,,
WH,惠州市仲恺高新区和畅5路西103号,惠州市德赛西威汽车电子有限公司,0.118 ,0.108 ,5%,,1010,,广东省惠州市仲恺高新区和畅五路西103号,,
WH,重庆市北部新区云瑞街12号,重庆海德世拉索系统(集团)有限公司,0.118 ,0.108 ,5%,,884,,重庆市北部新区云瑞街6号,,
WH,山东省青岛市大沙路18号,固恩治(青岛)工程橡胶有限公司,0.118 ,0.108 ,5%,,1125,,山东省青岛市四方区大沙路17号,,
WH,山东省青岛平度市同和同康东路1号,青岛东亚精密工业有限公司,0.244 ,0.244 ,5%,,1180,1.5,山东省平度市同和工业园同康东路1号,,
WH,山东青岛城阳上马街道向阳社区1482号,贝洱电子热控(青岛)有限公司,0.118 ,0.108 ,5%,,1140,,山东省青岛市城阳区上马街道向阳村1482号,,
WH,青岛开发区通河路269号,辉门(青岛)汽车零部件有限公司,0.118 ,0.108 ,5%,,1100,,山东省青岛市经济技术开发区通河路269号,,
WH,青岛经济技术开发区渭河路917号,威伯科汽车控制系统（中国）有限公司,0.244 ,0.244 ,5%,,1100,1.5,山东省青岛市经济技术开发区渭河路917号,,
WH,山东省莱阳市龙门西路57#,山东莱阳市昌誉密封产品有限公司,0.244 ,0.244 ,5%,,1220,1.5,山东省莱阳市龙门西路57号,,
WH,山东省烟台市福山区永达街970号,上海交运汽车动力系统有限公司,0.244 ,0.244 ,5%,,1220,1.5,山东省烟台市福山区永达街970号,,
WH, 烟台市福山区凤凰山路210号,上海赛谛汽车配件有限公司,0.244 ,0.244 ,5%,,1250,1.5,山东省烟台市福山区凤凰山路210号,,
WH,烟台市莱山区盛泉东路2号,烟台安国特紧固件有限公司,0.244 ,0.244 ,5%,,1320,1.5,山东省烟台市莱山区盛泉东路2号,,
WH,山东省烟台市福山区福新路99号,上海皮尔博格有色零部件有限公司（烟台）,0.244 ,0.244 ,5%,,1310,1.5,山东省烟台市福山区福新路90号,,
WH,山东省烟台市福山区永达街1000号,上海采埃孚转向系统(武汉)有限公司,0.221 ,0.109 ,5%,,1300,1.5,无烟台地址,,
WH,山东济宁高新区康泰路8号,伊顿工业(济宁)有限公司,0.172 ,0.172 ,5%,,787,2,山东省济宁市高新区康泰路8号,,
WH,河南省南阳市内乡县湍东镇工业园区,河南省西峡汽车水泵股份有限公司,0.200 ,0.144 ,5%,,505,1.61,河南省西峡县工业大道794号,,
WH,北京市密云工业开发区C区西统路,万都（北京）汽车底盘系统有限公司,0.095 ,0.095 ,5%,,1256,,北京市密云县开发区c区西统路,,
WH,天津市武清开发区泉旺路15号,马勒东炫滤清器（天津）有限公司,0.095 ,0.095 ,5%,,1190,,天津市武清区泉旺路15号,,
WH,天津市大港区中塘镇葛万公路1437号,天津市大港胶管有限公司,0.095 ,0.095 ,5%,,1160,,天津市滨海新区大港中塘镇葛万路西1437号,,
WH,河北省承德市开发区东西营工业园区,承德苏垦银河连杆股份有限公司,0.294 ,0.118 ,5%,,1407,1.2,河北省承德市开发区东西营工业园区,,
WH,长春市经济技术开发区武汉路1981号,大陆汽车电子(长春)有限公司,0.081 ,0.081 ,5%,,2140,,吉林省长春市经开区武汉路1981号,,
WH,吉林省辽源市福镇大路26号,富奥汽车零部件股份有限公司泵业分公司,0.081 ,0.081 ,5%,,2058,2.8,吉林省辽源市经开区财富大路1216号,,
WH,吉林省长春市高新开发区超燃街2555号,吉林大华机械制造有限公司,0.081 ,0.081 ,5%,,2135,,吉林省长春市高新区超然街2555号,,
WH,广州市花都区花都汽车城江北路4号,广州金钟汽车零件制造有限公司,0.118 ,0.108 ,5%,,969,,广东省广州市花都区花都汽车城东风大道江北路4号 ,,
WH,珠海市高新区,艾默生电气（珠海）有限公司,0.118 ,0.108 ,5%,,1089,,广东省珠海市高新区创新海岸科技5路3号厂房,,
WH,广东省东莞市东坑镇坑美工业园 23 号,冠瑞贸易(上海)有限公司,0.118 ,0.108 ,5%,,1044,,广东省东莞市东坑镇坑美工业园23号,,
WH,成双大道南段1077号,成都盛帮密封件股份有限公司,0.118 ,0.108 ,5%,,1155,1.64,无该供应商,,
WH,郫筒镇何公路116号,成都兴光工业科技有限公司,0.118 ,0.108 ,5%,,1163,,四川省成都市郫县郫筒镇何公路116号,,
WH,浙江省富阳市金桥工业功能区公园西路1181号,浙江金固股份有限公司,0.118 ,0.108 ,5%,,748,,浙江省富阳市富春街道公园西路1181号,,
WH,杨府岩头下开发区(台州),浙江仙通橡塑股份有限公司,0.118 ,0.108 ,5%,,828,0.59,浙江省台州市仙居福应街道杨府现代工业区兴业路8号,,
WH,东长路,福州福光橡塑有限公司,0.118 ,0.108 ,5%,,957,,福建省福州市闽侯县青口投资区,,
WH,安徽省马鞍山市召明路1号21栋厂房,马鞍山联洪合成材料有限公司,0.144 ,0.144 ,5%,,589,,安徽省马鞍山市金家庄区化工路1号,,
WH,平度同和工业园区同康路29号,青岛大同体系汽车配件有限公司,0.118 ,0.108 ,5%,,1173,2.74,山东省青岛市平度同和工业园同康路29号,,
WH,青岛市城阳区夏庄街道中黄埠工业园华夏路11号,青岛华涛汽车模具有限公司,0.118 ,0.108 ,5%,,1140,,山东省青岛市城阳区夏庄街道中黄埠工业园华夏路11号东100米,,
WH,珠江路22号,烟台正海合泰科技股份有限公司,0.118 ,0.108 ,5%,,1328,,山东省烟台市福山高新区祥福街57号,,
WH,曲阜市经济开发区天博路1号,曲阜天博汽车零部件制造有限公司,0.118 ,0.108 ,5%,,822,,山东省曲阜市经济开发区天博工业园,,
WH,沈阳市沈北新区,富诚汽车零部件沈阳有限公司,0.081 ,0.081 ,5%,,1836,0.11,（新地址，至NSIII距离）：辽宁省沈阳市大东区轩畅路8号,,
WH,沈阳经济开发区浑河十三街二号,沈阳瑞博精密部件有限公司,0.081 ,0.081 ,5%,,1870,1.26,辽宁省沈阳市经济技术开发区浑河十三街二号,,
WH,营口渤海大街103号,马勒发动机零部件(营口)有限公司,0.081 ,0.081 ,5%,,1751,1.09,辽宁省营口市渤海大街西103号,,
WH,大连市经济开发区湾达路10号,利优比压铸(大连)有限公司,0.109 ,0.109 ,5%,,1523,,辽宁省大连市经济技术开发区湾达路10号,,
WH,江苏丹阳市金陵西路95号,大亚车轮制造有限公司,0.123 ,0.123 ,5%,,681,,新地址：江苏省丹阳市经济开发区大亚产业园大亚路6号,,
WH,辽宁市铁岭经济开发区官台工业园,瀚德（中国）汽车密封系统有限公司铁岭分公司,0.081 ,0.081 ,5%,,1902,,辽宁省铁岭市银州区官台工业园区腾龙大道1号,,
WH,天津泰达经济技术开发区渤海路2号,大陆汽车系统(天津)有限公司,0.136 ,0.136 ,5%,,1203,,天津市经济开发区渤海路2号,,
WH,山东省烟台市福山区福济路永达街886号,矢崎（中国）投资有限公司,0.118 ,0.109 ,5%,,1298,,山东省烟台市福山高科工业园区永达街886号,,
WH,天津经济技术开发区黄海二街5号,富士通天国际贸易（天津）有限公司上海分公司,0.095 ,0.095 ,5%,,1200,,天津市经济技术开发区黄海二街5号,,
WH,辽宁省大连市甘井子区虹港路300号（主动降噪模块）,松下电器机电(中国)有限公司,0.109 ,0.109 ,5%,,1470,,辽宁省大连市甘井子区虹港路300号,,
WH,天津经济开发区洞庭路166号,电装（中国）投资有限公司上海分公司,0.095 ,0.095 ,5%,,1173,,天津市经济技术开发区洞庭路166号,,
WH,山东省烟台市福山区英特尔大道18号,烟台神通汽车部件有限公司,0.118 ,0.108 ,5%,,1301,,山东省烟台市福山区英特尔大道18号,,
