DY,天津市经济技术开发区黄海路192号 ,PPG涂料(天津)有限公司,0.158,0.155,0.05,,800
DY,湖北省武汉市经济技术开发区全力南路60号,艾菲发动机零件（武汉）有限公司,0.099176636,0.099176636,0.05,,1300
DY,天津市天津港保税区海滨一路47号,爱思开能源润滑油(天津)有限公司,0.158,0.155,0.05,,800
DY,安徽省合肥市玉兰大道1号,安徽江南机械有限责任公司,0.108,0.1,0.05,,900
DY,天津市经济技术开发区海通街37号,阪东(上海)管理有限公司,0.158,0.155,0.05,,800
DY,（干线取货要求不满足）河北省保定市七一东路948号,保定市立中车轮制造有限公司,0.119428571,0.095,0.05,,1005
DY,天津市天津经济技术开发区西区光华街58号,保定市立中车轮制造有限公司,0.158,0.155,0.05,,800
DY,北京市平谷区兴谷工业开发区平兴街45号院,北京大圆亚细亚汽车科技有限公司,0.158,0.155,0.05,,800
DY,北京市经济技术开发区博兴路19号,北京德尔福万源发动机管理系统有限公司,0.158,0.155,0.05,,800
DY,北京市房山区窦店镇交道东西大街1号,北京京西重工有限公司,0.158,0.155,0.05,,800
DY,北京市怀柔区杨宋镇凤翔科技开发区二园11号,北京世东凌云科技有限公司,0.158,0.155,0.05,,800
DY,北京市怀柔区杨宋镇凤翔东大街2号,北京天元奥特橡塑有限公司,0.158,0.155,0.05,,800
DY,北京市大兴区魏永路70号,北京威卡威汽车零部件股份有限公司,0.158,0.155,0.05,,800
DY,北京市平谷区兴谷工业开发区M2-6号,北京永信发谷汽车部件有限公司,0.158,0.155,0.05,,800
DY,北京市通州区潞城镇潞城中路5号,博格华纳汽车零部件 (北京) 有限公司,0.158,0.155,0.05,,800
DY,天津市空港经济开发区东九道36号,博格华纳汽车零部件 (天津) 有限公司,0.158,0.155,0.05,,800
DY,湖南省长沙市漓湘中路26号,博世汽车部件（长沙）有限公司,0.213,0.213,0.05,,1600
DY,河北省承德市开发区东西营工业园区,承德苏垦银河连杆股份有限公司,0.2945,0.1178,0.05,,1000
DY,天津市泰华路81号,出光润滑油(中国)有限公司,0.158,0.155,0.05,,800
DY,天津市经济开发区渤海路2号,大陆汽车系统（天津）有限公司,0.158,0.155,0.05,,800
DY,天津市西青经济开发区赛达二大道15号,电装（中国）投资有限公司上海分公司,0.158,0.155,0.05,,800
DY,天津市经济技术开发区洞庭路166号,电装（中国）投资有限公司上海分公司,0.158,0.155,0.05,,800
DY,天津市东丽经济开发区六经路3号,电装（中国）投资有限公司上海分公司,0.158,0.155,0.05,,800
DY,江苏省南京市江宁开发区广利路88号,法雷奥汽车自动传动系统（南京）有限公司,0.108,0.1,0.05,,770
DY,承诺制造地址：天津市西青经济技术开发区赛达三支路18号,法斯德科技(天津)有限公司,0.158,0.155,0.05,,800
DY,北京市天竺空港工业区A区天柱东路3号,费尔特兰（北京）汽车产品有限公司,0.158,0.155,0.05,,800
